"id","imo","sector","destination","top1","score1","top2","score2","top3","score3","top4","score4","top5","score5"
"163703","9243887","DRY BULK","CL PMC","Puerto Montt + CLPMC","91","La Palma + name","57","La Place + name","57","Panama Canal + name","56","Chanaral + CLCNR","55"
"163709","9320312","DRY","VN VUT","Vung Tau + VNVUT","91","Vavouto + name","62","Vung Ang + name","57","Ba Ngoi + VN CR","57","Ventspils + LVVNT","55"
"163721","9302865","TANKER","AU PHE>>SG SIN","Singapore + SGSIN&&>","91","Bassein + name&&>","62","Messina + name&&>","62","Es Sider + name&&>","57","Nghi Son + name&&>","57"
"163741","9260017","TANKER","ES TAR","Tarragona + ESTAR","91","Stade + DESTA","73","Cartagena, Spain + ESCAR","73","Garrucha + ESGAR","73","Tarbert Island + IETAR","73"
"163753","9575668","DRY BULK","CN ZJG","Zhangjiagang + CNZJG","91","Fuzhou + CNFZG","73","Guangzhou + CNGZG","73","Nanjing + CNNJG","73","Caojing + CNCJG","73"
"163755","9078543","DRY BULK","CN NDE","Ningde + CNNDE","91","Ningde + name","67","Con Son + name","62","Onne + name","60","Chandler + name","57"
"163760","9084279","TANKER",">JP MUR OFF","Muroran + JPMUR&&>","91","Yura + JPYUR&&>","73","Marugame + JPMAR&&>","73","Mitajiri + JPMJR&&>","73","Omuta + JPOMU&&>","73"
"163770","9622722","TANKER","KR PUS","Busan + KRPUS","91","Ulsan + KRUSN","73","Pusan + name","55","Kristinestad + FIKRS","55","Ponce + PRPSE","55"
"163772","9213959","DRY BULK","SG SIN","Singapore + SGSIN","91","Bassein + name","62","Messina + name","62","Es Sider + name","57","Nghi Son + name","57"
"163790","9357054","DRY BULK","CN_SHD","Shidao + CNSHD","91","Shanghai + CNSHG","73","Shekou + CNSHK","73","Shuidong + CNSDG","73","Qinhuangdao + CNSHP","73"
"163803","9263552","DRY BULK","NL RTM","Rotterdam + NLRTM","91","Port Gentil + name","59","Le Trait + name","57","Port Angeles + name","56","Port Lincoln + name","56"
"163854","9000986","DRY BULK","BR SPB","Sepetiba Bay + BRSPB","91","Sepetiba + BRSEP","73","Brisbane + name","57","Supe Bay + name","57","Sepetiba Bay + name","56"
"163889","9819014","OSV",">JP KUH","Kushiro + JPKUH&&>","91","Kuchinotsu + JPKUC&&>","73","Kinuura + JPKNU&&>","73","Kudamatsu + JPKUD&&>","73","Kisarazu + JPKZU&&>","73"
"163900","9358010","DRY BULK","CN NTG>CN ZOS","Zhoushan + CNZOS&&>","91","Laizhou + CNLZO&&>","73","Foshan + CNFOS&&>","73","Zhongshan + CNZSN&&>","73","Taizhou + CNTZO&&>","73"
"163937","9745940","DRY BULK","AU PHE","Port Hedland + AUPHE","91","Thevenard + AUTHE","73","Exmouth + AUPEX","73","Port Huon + AUPHU","73","Batu Pahat + name","62"
"163949","9450583","CONTAINER","NZ TRG","Tauranga + NZTRG","91","Nha Trang + name","67","Rayong + THRYG","55","Hazira + INHZR","55","Zhangjiagang + CNZJG","55"
"164118","9046435","TANKER","KR YOS","Yosu + KRYOS","91","Kos + name","67","Yosu + name","60","Kramfors + name","57","Grays + name","55"
"164156","9131096","TANKER","NL AMS > NL RTM","Rotterdam + NLRTM&&>","91","Port Gentil + name&&>","59","Le Trait + name&&>","57","Port Angeles + name&&>","56","Port Lincoln + name&&>","56"
