port_code,port_name,country_code
SJBAR,Barentsburg,NO
JPUNO,Uno,JP
CAKIN,"Kingston, Ontario, Canada",CA
CAKTM,Kitimat,CA
JPWAM,Wakamatsu,JP
JPYOK,Yokohama,JP
MGNOS,Nossi-Be,MG
MMRGN,Rangoon,MM
MXCOA,Coatzacoalcos,MX
USMIA,Miami,US
NZTRG,Tauranga,NZ
ARCMP,Campana,AR
ARCOU,Concepcion del Uruguay,AR
ARCRD,Comodoro Rivadavia,AR
PHCEB,Cebu,PH
MYBKI,Kota Kinabalu,MY
MYMKZ,Malacca,MY
MYPKG,Port Klang - Pelabuhan Ultra - North Port,MY
ARSNS,"San Nicolas, Argentina",AR
ARSSN,"San Sebastian, Argentina",AR
AUBNE,Brisbane,AU
AUBUY,Bunbury,AU
NGBON,Bonny,NG
BNSER,Seria,BN
NLVLI,Flushing,NL
NOFRK,Fredrikstad,NO
USCHI,Chicago,US
USCRP,Corpus Christi,US
AUBEL,Bell Bay,AU
AUBME,Broome,AU
AEJED,Jebel Dhanna - Ruwais,AE
AEKLF,Khor Fakkan,AE
AEMSA,Mina Saqr,AE
AEPRA,Port Rashid,AE
AGSJO,"St John""""s, (Antigua), Antigua and Barbuda",AG
ITPES,Pesaro,IT
USHNS,Haines,US
ALDRZ,Durres,AL
ARSLO,"San Lorenzo, Argentina",AR
USEWB,New Bedford,US
ARVCN,Villa Constitucion,AR
ASPPG,Pago Pago,AS
AUADL,Adelaide,AU
AUALH,"Albany, W.A., Australia",AU
TRDIL,Diliskelesi,TR
USSUE,Sturgeon Bay,US
USKAE,Kake,US
TRTEK,Tekirdag,TR
USBTR,Baton Rouge,US
USCEN,"St James, Louisiana, U.S.A.",US
USFPO,"Freeport, Texas, U.S.A.",US
ARBHI,Bahia Blanca,AR
ARBUE,Buenos Aires,AR
AEABU,Abu Al Bukhoosh,AE
AEDAS,Das Island,AE
AEFJR,Fujairah,AE
AEJEA,Jebel Ali,AE
ALVOA,Vlore,AL
AOCAB,Cabinda,AO
AOLAD,Luanda,AO
AOLOB,Lobito,AO
AOPAT,Palanca,AO
AOSZA,Soyo,AO
ARDME,Diamante,AR
ARIBY,Ibicuy,AR
AUFRE,Fremantle,AU
INIXZ,Port Blair,IN
ARLPG,La Plata,AR
ARNEC,Necochea,AR
ARPRA,Parana,AR
ARPRS,Puerto Rosales,AR
BRCDO,Cabedelo,BR
BRRIG,Rio Grande,BR
ARRAM,Ramallo,AR
ARSAE,San Antonio Este,AR
CALWP,Lewisporte,CA
ARSFN,Santa Fe,AR
AUBWB,Barrow Island,AU
AUBWT,Burnie,AU
AUCNS,Cairns,AU
AUDAM,Dampier,AU
AUDPO,"Devonport, Tas., Australia",AU
AUDRW,"Darwin, N.T., Australia",AU
AUEPR,Esperance,AU
ITPFX,Sarroch,IT
AUGET,Geraldton,AU
BRARB,Aratu,BR
AUGEX,Geelong,AU
AUGLT,"Gladstone, Qld., Australia",AU
AUWAL,Wallaroo,AU
AUTHE,Thevenard,AU
AUTSV,Townsville,AU
AUWNB,Withnell Bay,AU
AUWYA,Whyalla,AU
AWSNL,"San Nicolas Coastal Inner Harbour, Aruba (Netherlands)",AW
BDCGP,Chittagong,BD
BRTUB,Tubarao,BR
AUGOV,Gove,AU
AUKRB,Karumba,AU
BQEUX,St Eustatius,AN
AUKWI,Kwinana (Refinery),AU
AUMEL,Melbourne,AU
AUMKY,Mackay,AU
AUMOU,Mourilyan,AU
AUNTL,Newcastle,AU
AUONS,Onslow,AU
AUPBY,Port Bonython,AU
AUPGI,Port Giles,AU
AUPHE,Port Hedland,AU
AUPKL,Port Kembla,AU
AUPLA,Port Latta,AU
AUPLO,Port Lincoln,AU
AUPPI,Port Pirie,AU
AUPTL,Port Alma,AU
AUPWL,Port Walcott,AU
AUQDN,Eden,AU
AUSYD,"Sydney, N.S.W., Australia",AU
BEANR,Antwerp,BE
BEGNE,Ghent,BE
BEZEE,Zeebrugge,BE
BGBOJ,Bourgas,BG
BJCOO,Cotonou,BJ
BNMUA,Muara Port,BN
EGRAG,Ras Gharib,EG
BRADR,Angra dos Reis,BR
BRFOR,Fortaleza,BR
BRMAO,Manaus,BR
BRSSO,Sao Sebastiao,BR
BRSSZ,Santos,BR
CAPTU,Point Tupper,CA
CAVAN,"Vancouver, B.C., Canada",CA
CNDDG,Dandong,CN
FRBES,Brest,FR
DEBRV,Bremerhaven,DE
BRSTM,Santarem,BR
BRSUA,Suape,BR
BRREC,Recife,BR
IECOB,Cobh,IE
ITPIO,Piombino,IT
ITPEM,Porto Empedocle,IT
BRSSA,Salvador,BR
BRTRM,Tramandai,BR
BRVIX,"Vitoria, Brazil",BR
BSFPO,"Freeport, (Grand Bahama Is.), Bahamas",BS
BSNAS,Nassau,BS
BZBZE,Belize,BZ
CACBC,Come-By-Chance,CA
CAHAL,Halifax,CA
CAMTR,Montreal,CA
CAPHW,Port Hawkesbury - Wright Point Oil Berth,CA
CNCGS,Changshu,CN
CLARI,Arica,CL
CLCNL,Coronel,CL
CLCNX,Cabo Negro,CL
CUCFG,Cienfuegos,CU
CLIQQ,Iquique,CL
CLPMC,Puerto Montt,CL
CAVIC,"Victoria, B.C., Canada",CA
CIABJ,Abidjan,CI
ITPNG,Porto Nogaro,IT
ITPSS,Porto Santo Stefano,IT
ITPTO,Porto Torres,IT
ITPVE,Porto Vesme,IT
CLANF,Antofagasta,CL
CLPUQ,Punta Arenas,CL
CLQTV,Quintero,CL
CLSVE,"San Vicente, Chile",CL
CLTOQ,Tocopilla,CL
CLVAP,Valparaiso,CL
CNCWN,Chiwan,CN
CNLKU,Longkou,CN
CNMJS,Maji Shan,CN
CNMWN,Mawan,CN
CNNSA,Nansha,CN
CNNTG,Nantong,CN
CUNVT,Nuevitas (Puerto Tarafa),CU
ESBIO,Bilbao,ES
EGWAF,Wadi Firan,EG
IDSKP,Sekupang,ID
CNWNZ,Wenzhou,CN
CMLIT,Cape Limboh,CM
GBERI,Erith,GB
DEHAM,Hamburg,DE
DERSK,Rostock,DE
CNBSP,Basuo,CN
CNBYQ,Bayuquan,CN
EGSGA,Safaga,EG
CNDSN,Dongshan,CN
CNFAN,Fangcheng,CN
CRMOB,Puerto Moin,CR
CRPAS,Puntarenas,CR
CNHGH,Hangzhou,CN
CNJNZ,Jinzhou,CN
ITPZL,Pozzallo,IT
ESCAD,Cadiz Bay,ES
GBCBT,Campbeltown,GB
MYKUD,Kudat,MY
UABGD,Belgorod Dnestrovsky,UA
GBLER,Lerwick,GB
EGRSH,Ras Shukheir,EG
CNPLI,Penglai,CN
CNQZH,Qinzhou,CN
CNRPG,Raoping,CN
CNSHD,Shidao,CN
CUGUB,Guantanamo,CU
CUHAV,Havana,CU
CUMZO,"Manzanillo, Cuba",CU
CUMAR,Mariel,CU
CUQMA,"Matanzas, Cuba",CU
COPOC,Pozos Colorados,CO
CWWIL,"Willemstad, (Curacao), Netherlands Antilles",AN
CXXCH,Christmas Island,IO
ESAGP,Malaga,ES
CYDHK,Dhekelia,CY
CYLMS,Limassol,CY
CYVAS,Vassiliko Bay,CY
DEBRB,Brunsbuttel,DE
DEBRE,Bremen,DE
DEEME,Emden,DE
DELBC,Lubeck,DE
DESTA,Stade,DE
DEWVN,Wilhelmshaven,DE
DJJIB,Djibouti,DJ
UAILK,Chornomorsk,UA
GBFAW,Fawley,GB
DEECK,Eckernforde,DE
DKAAL,Aalborg,DK
DKAAR,Aarhus,DK
DKCPH,Copenhagen,DK
ESALG,Algeciras,ES
ESAVS,Aviles,ES
DKFRC,Fredericia,DK
DKGFH,Gulfhavn,DK
DOHAI,Rio Haina,DO
DZAAE,Annaba,DZ
DZALG,Algiers,DZ
DZBJA,Bejaia,DZ
DZDJE,Djen-Djen,DZ
ESTAR,Tarragona,ES
ESVGO,Vigo,ES
DZGHZ,Ghazaouet,DZ
CUPPA,Puerto Padre,CU
GBCDF,Cardiff,GB
DZMOS,Mostaganem,DZ
DZORN,Oran,DZ
DZSKI,Skikda,DZ
ECESM,Esmeraldas,EC
ECGYE,Guayaquil,EC
EEPLA,Paldiski South Harbour,EE
EGALY,"Alexandria, Egypt",EG
EGDAM,Damietta,EG
EGPSD,Port Said,EG
EGSKT,Sidi Kerir,EG
IDSOQ,Sorong,ID
FIVAA,Vaasa,FI
ESACA,Alcanar,ES
ESBCN,"Barcelona, Spain",ES
ESIBZ,Ibiza,ES
ESLEI,Almeria,ES
IDTBA,Tanjung Bara,ID
IDTRK,Tarakan,ID
IEBYT,Bantry Bay,IE
IEDUB,Dublin,IE
ESCAR,"Cartagena, Spain",ES
ESCEU,Ceuta,ES
ESCRS,Carboneras,ES
ESFRO,Ferrol,ES
ILAKL,Ashkelon,IL
ESGAR,Garrucha,ES
ESGIJ,Gijon,ES
ESHUV,Huelva,ES
IEFOV,Foynes Harbour,IE
CUSCU,Santiago de Cuba,CU
CVRAI,Praia,CV
CVSID,Sal Is.,CV
CVVXE,St Vincent,CV
GBCTM,Chatham Docks U.K.,GB
GBDUN,Dundee,GB
ESMAH,Mahon,ES
FIRAU,Rauma,FI
ESMOT,Motril,ES
ESPAS,Pasajes,ES
ESPMI,Palma,ES
ESROT,"Rota, Spain",ES
FRDKK,"Dunkirk, France",FR
FRDON,Donges,FR
FRFOS,Fos,FR
FRLAV,Lavera,FR
CVMIN,Mindelo,CV
CYAKT,Akrotiri,CY
CYFMG,Famagusta,CY
FRBOD,Bordeaux,FR
FRLRT,Lorient,FR
FRPAP,Pauillac,FR
ESSAG,Sagunto,ES
IEWHI,Whitegate,IE
GBDVR,"Dover, U.K.",GB
GBELL,Ellesmere Port,GB
GBFAL,"Falmouth, U.K.",GB
DEFLF,Flensburg,DE
DENHA,Nordenham,DE
ESSCI,San Ciprian,ES
ESSCR,San Carlos de la Rapita,ES
ESSDR,Santander,ES
ESVIL,Villagarcia de Arosa,ES
ESVLC,Valencia,ES
FIHEL,Helsinki,FI
FIHMN,Hamina,FI
FIKTK,Kotka,FI
FINLI,Naantali,FI
FRPET,Petit Couronne,FR
FRPJE,Port Jerome,FR
IEORK,Cork,IE
ILASH,Ashdod,IL
FRSET,Sete,FR
FRURO,Rouen,FR
GAGAX,Gamba,GA
CYMOI,Moni,CY
CYKAR,Xeros,CY
DEBKE,Brake,DE
DEBUZ,Butzfleth,DE
DECUX,Cuxhaven,DE
GBFOY,Fowey,GB
GBABD,"Aberdeen, U.K.",GB
GBAUL,Loch Ewe,GB
GBAVO,Avonmouth,GB
GBBAD,Barry,GB
GBBEL,"Belfast, U.K.",GB
GBBFB,Braefoot Bay,GB
GBBLY,Blyth,GB
GBBOS,"Boston, U.K.",GB
GBBRS,"Bristol, U.K.",GB
GBFNT,Finnart,GB
GBFXT,Felixstowe,GB
GBGLW,Glasgow,GB
GBGRG,Grangemouth,GB
GBGRK,Greenock,GB
JMMBJ,Montego Bay,JM
GBGSA,Glensanda,GB
GBGSY,Grimsby,GB
GBGTY,Great Yarmouth,GB
GBHAM,Hamble,GB
GBHLY,Holyhead,GB
GBHPT,Hound Point,GB
JPMIN,Minamata,JP
GBHST,Hunterston,GB
GBIMM,Immingham Dock,GB
GBINV,Inverness,GB
GBIPS,Ipswich,GB
GBIVG,Invergordon,GB
GBKGH,Killingholme,GB
GBKLN,"King""""s Lynn",GB
GBKNK,Kingsnorth,GB
DKASS,Asnaes,DK
DKASN,Assens,DK
GBKWL,Kirkwall,GB
GBLAR,Larne,GB
GQSSG,Malabo,GQ
GRGPA,Patras,GR
GRKVA,Kavalla,GR
GRPIR,Piraeus,GR
DKKAL,Kalundborg,DK
DKKOG,Koge,DK
HNSLO,"San Lorenzo, Honduras",HN
ILHFA,Haifa,IL
INALA,Alang,IN
INBHU,Bhavnagar,IN
INCDL,Cuddalore,IN
HRRJK,Rijeka,HR
HRZAD,Zadar,HR
IDCIW,Ciwandan,ID
IDDUM,Dumai,ID
IDITN,Tanjung Uban,ID
GBNHO,New Holland,GB
GBNPT,"Newport, Wales, U.K.",GB
GBOAK,Oakham Ness,GB
GBPHD,Peterhead ,GB
GBPLY,"Plymouth, U.K.",GB
GBPME,"Portsmouth, U.K.",GB
GBPOO,Poole,GB
GBPTB,Port Talbot,GB
GBPTL,"Portland, U.K.",GB
GBRMG,Ramsgate,GB
GBROY,Rosyth,GB
GBSCR,Scrabster,GB
GBSED,Saltend,GB
ITPMO,Palermo,IT
ITRAN,Ravenna,IT
GBSFW,Scapa Flow,GB
GBSHS,Sheerness,GB
GBSUL,Sullom Voe,GB
GBSUN,Sunderland,GB
GBSWA,"Swansea, U.K.",GB
GBTEE,Teesport,GB
GBTRA,Tranmere,GB
GBWPT,Warrenpoint,GB
GEPTI,Poti,GE
